article id	author	year	title	journal/conference/collection	abstract	reference IDs	isDHQ
erickson2000	Erickson, Thomas | Kellogg, Wendy A.	2000	Social translucence: an approach to designing systems that support social processes	ACM Transactions on Computer-Human Interaction			0
erjavec1998	Erjavec, T. | Ide, N.	1998	The Multext-East corpus	Proceedings LREC'1998			0
erk2003	Erk, Katrin | Kowalski, Andrea | Pado, Sebastian | Pinkal, Manfred	2003	Towards a resource for lexical semantics: a large German corpus with extensive semantic annotation	41st Annual Meeting of the Association for Computational Linguistics			0
ernst2002	Ernst, Wolfgang	2002	Agencies of Cultural Feedback: The Infrastructure of Memory.	Waste-Site Stories: The Recycling of Memory			0
ernst2008	Ernst-Gerlach, Andrea | Crane, Gregory	2008	Identifying Quotations in Reference Works and Primary Materials	Proceedings of the Twelfth European Conference on Research and Advanced Technology for Digital Libraries			0
ernst2011	Ernst, Wolfgang	2011	Media Archaeography: Method and Machine versus History and Narrative of Media.	Media Archeology: Approaches, Applications, Implications			0
ersan1996	Ersan, Murat | Charniak, Eugene	1996	A statistical syntactic disambiguation program and what it learns	Connectionist, Statistical and Symbolic Approaches to Learning for Natural Language Processing			0
escudero2000	Escudero, Gerard | Marquez, Luiz | Rigau, German	2000	A Comparison between Supervised Learning Algorithms for Word Sense Disambiguation	Proceedings of CoNLL-2000 and LLL-2000			0
eskelinen2001	Eskelinen, Markku	2001	The Gaming Situation	Game Studies			0
eskelinen2004	Eskelinen, Markku	2004	Towards Computer Game Studies	First Person: New Media as Story, Performance, and Game			0
eskelinen2012	Eskelinen, Markku	2012	Cybertext Poetics: The Critical Landscape of New Media Literary Theory.				0
estrada1967	Martínez Estrada, Ezequiel	1967	Nosotros, Vosotros y Ellos	La Poesía Afrocubana de Nicolás Guillén			0
etzioni2007	Etzioni, O. | Banko, M. | Cafarella, M.J.	2007	Machine reading	Proceedings of the AAAI Spring Symposium on Machine Reading			0
eugenio2000	Di Eugenio, Barbara	2000	The agreement process: An empirical investigation of human-human computer-mediated collaborative dialogues	International Journal of Human Computer Studies			0
eugenio2004	Di Eugenio, Barbara | Glass, Michael	2004	The Kappa Statistic: A Second Look	Computational Linguistics			0
europeanroadmap2006	European Strategy Forum on Research Infrastructures	2006	Reports European Roadmap for Research Infrastructures Report 2006				0
evans1989	Evans, Roger | Gazdar, Gerald	1989	Inference in DATR	Proceedings of the Fourth Conference on the European Chapter of the Association for Computational Linguistics			0
evans1996a	Evans, Dylan	1996	An Introductory Dictionary of Lacanian Psychoanalysis				0
evans1996b	Evans, R. | Gazdar, G.	1996	DATR: A language for lexical knowledge representation	Computational Linguistics			0
evans2010a	Evans, Bob	2010	Steve Jobs Torpedoes Another Stale Model.	Information Week			0
evans2010b	Evans, D.	2009	Appropriation				0
eve2002	Eve, Eric	2002	The Jewish Context of Jesus’ Miracles				0
eve2004	Eve, Eric	2004	Square Circle				0
eve2005	Eve, Eric	2005	All Hope Abandon				0
eve2007	Eve, Eric	2007	All Hope Abandon: Biblical Text and Interactive Fiction	Digital Humanities Quarterly			1
everhart1989	Everhart, Nancy	1989	Library Displays				0
eynden2010	Eynden, V.V.d. | Bishop, L. | Horton, L. | Corti, L.	2010	Data Management Practices in the Social Sciences,				0
eysenck1990	Eysenck, M.W. | Keane, M.T.	1990	Cognitive Psychology-A Student's Handbook				0
ezell2010	Ezell, Margaret	2010	Editing Early Modern Women’s Manuscripts: Theory, Electronic Editions, and the Accidental Copy-Text,	Literature Compass			0
fabbrizio2004	Fabbrizio, Giuseppe Di | Tur, Gokhan | Hakkani-Tür, Dilek	2004	Bootstrapping spoken dialog systems with data reuse	Proceedings of the fifth SIGdial workshop on discourse and dialogue			0
fabre1997	Fabre, Cecile | Habert, Benoit | Labbé, Dominique	1997	La polysémie dans la langue générale et les discours spécialisés	Sémiotiques			0
fabricius1888	Fabricius, Wilhelm	1888	Theophanes von Mytilene und Quintus Dellius als Quellen des Geographie des Strabon				0
facebook2012	Facebook	2012	News-Apps Center				0
fairon2007	Fairon, Cedrick | Naets, Hubert | Kilgarriff, Adam | de Schryver, Gilles-Maurice	2007	Building and exploring web corpora	Proceedings of the 3rd Web as a Corpus Workshop including Cleaneval			0
falcon2005	Falcon, Vera | Leonardi, Chiara | Pianesi, Fabio | Zancanaro, Massimo	2005	Annotation of Group Behaviour: a Proposal for a Coding Scheme	Proceedings of the Workshop on Multimodal Multiparty Multimodal Processing			0
falliere2011	Falliere	n.d.	W32.Stuxnet Dossier,	Symantec Security Response			0
fallmann2007	Fällman, Daniel	2007	Supporting Studio Culture in Design Research	Proceedings of IASDR 2007, International Association of Societies of Design Research			0
fantastic_comics24	Various authors	2009	Fantastic Comics #24 (series: Fantastic Comics)				0
farabaugh2007	Farabaugh, Robin	2007	The Isle is Full of Noises: Using Wiki Software to Establish a Discourse Community in a Shakespeare Classroom	Language Awareness			0
farkas1990	Farkas-Conn, Irene S.	1990	From Documentation to Information Science: The Beginnings and Early Development of the American Documentation Institute—American Society for Information Science				0
